(0.1068885326385498, 0, 'out', 'prompt', 0, 17)
(0.15515923500061035, 1, 'out', 'prompt', 0, 76)
(0.19841217994689941, 2, 'out', 'prompt', 0, 29)
(0.2451789379119873, 3, 'out', 'prompt', 0, 24)
(0.2932250499725342, 0, 'in', 'prompt', 0, 17)
(0.2932250499725342, 4, 'out', 'prompt', 0, 17)
(0.2932250499725342, 0, 'out', 'decode', 17, 1)
(0.30022549629211426, 5, 'out', 'prompt', 0, 17)
(0.3340122699737549, 1, 'in', 'prompt', 0, 76)
(0.3340122699737549, 6, 'out', 'prompt', 0, 19)
(0.3340122699737549, 1, 'out', 'decode', 76, 1)
(0.3480989933013916, 7, 'out', 'prompt', 0, 34)
(0.3599724769592285, 2, 'in', 'prompt', 0, 29)
(0.3599724769592285, 8, 'out', 'prompt', 0, 59)
(0.3599724769592285, 2, 'out', 'decode', 29, 1)
(0.3859832286834717, 3, 'in', 'prompt', 0, 24)
(0.3859832286834717, 9, 'out', 'prompt', 0, 49)
(0.3859832286834717, 3, 'out', 'decode', 24, 1)
(0.40567612648010254, 10, 'out', 'prompt', 0, 37)
(0.41982221603393555, 4, 'in', 'prompt', 0, 17)
(0.41982221603393555, 11, 'out', 'prompt', 0, 17)
(0.41982221603393555, 4, 'out', 'decode', 17, 1)
(0.4202578067779541, 5, 'in', 'prompt', 0, 17)
(0.4202578067779541, 12, 'out', 'prompt', 0, 24)
(0.4202578067779541, 5, 'out', 'decode', 17, 1)
(0.44606709480285645, 13, 'out', 'prompt', 0, 17)
(0.4675130844116211, 0, 'in', 'decode', 17, 1)
(0.4675130844116211, 0, 'out', 'decode', 18, 1)
(0.49953293800354004, 14, 'out', 'prompt', 0, 17)
(0.5125606060028076, 6, 'in', 'prompt', 0, 19)
(0.5125606060028076, 15, 'out', 'prompt', 0, 17)
(0.5125606060028076, 6, 'out', 'decode', 19, 1)
(0.544804573059082, 7, 'in', 'prompt', 0, 34)
(0.544804573059082, 16, 'out', 'prompt', 0, 29)
(0.544804573059082, 7, 'out', 'decode', 34, 1)
(0.5450468063354492, 8, 'in', 'prompt', 0, 59)
(0.5450468063354492, 17, 'out', 'prompt', 0, 37)
(0.5450468063354492, 8, 'out', 'decode', 59, 1)
(0.5516679286956787, 18, 'out', 'prompt', 0, 19)
(0.5607404708862305, 1, 'in', 'decode', 76, 1)
(0.5607404708862305, 1, 'out', 'decode', 77, 1)
(0.5607404708862305, 2, 'in', 'decode', 29, 1)
(0.5607404708862305, 2, 'out', 'decode', 30, 1)
(0.5931496620178223, 10, 'in', 'prompt', 0, 37)
(0.5931496620178223, 19, 'out', 'prompt', 0, 37)
(0.5931496620178223, 10, 'out', 'decode', 37, 1)
(0.5931496620178223, 9, 'in', 'prompt', 0, 49)
(0.5931496620178223, 20, 'out', 'prompt', 0, 17)
(0.5931496620178223, 9, 'out', 'decode', 49, 1)
(0.6081624031066895, 21, 'out', 'prompt', 0, 17)
(0.6106822490692139, 3, 'in', 'decode', 24, 1)
(0.6106822490692139, 3, 'out', 'decode', 25, 1)
(0.6402134895324707, 11, 'in', 'prompt', 0, 17)
