(0, 16, 454, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(1, 75, 352, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(2, 28, 3533, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(3, 23, 1402, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(4, 16, 2071, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(5, 16, 2342, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(6, 18, 3603, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(7, 33, 1499, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(8, 58, 1049, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(9, 48, 1382, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(10, 36, 1345, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(11, 16, 3615, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(12, 23, 832, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(13, 16, 2673, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(14, 16, 887, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(15, 16, 2374, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(16, 28, 1027, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(17, 36, 4013, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(18, 18, 2003, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(19, 36, 3339, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(20, 16, 1884, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(21, 16, 3594, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(22, 50, 1116, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(23, 93, 3347, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(24, 18, 2297, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(25, 16, 107, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(26, 16, 2997, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(27, 20, 1683, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(28, 16, 3428, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(29, 46, 2786, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
(30, 16, 54, [1, 2, 3, 4, 0], [0, 10, 20, 30, -1], [10, 20, 30, 40, -1])
