(0, 194, 96, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(1, 420, 124, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(2, 1136, 375, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(3, 405, 103, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(4, 120, 12, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(5, 1060, 415, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(6, 388, 84, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(7, 1068, 429, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(8, 1039, 401, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(9, 422, 144, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(10, 209, 193, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(11, 1344, 56, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(12, 393, 60, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(13, 1050, 397, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(14, 1169, 421, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(15, 401, 109, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(16, 374, 114, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(17, 419, 148, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(18, 400, 89, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(19, 413, 106, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(20, 237, 126, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(21, 1224, 433, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(22, 181, 120, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(23, 1103, 414, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(24, 212, 183, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(25, 405, 94, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(26, 209, 217, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(27, 1316, 135, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(28, 1062, 415, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(29, 1066, 415, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(30, 1484, 88, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(31, 409, 93, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(32, 1092, 389, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(33, 395, 83, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(34, 203, 138, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(35, 1149, 398, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(36, 221, 48, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(37, 378, 69, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
