(0, 420, 124, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(1, 120, 12, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(2, 388, 84, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(3, 422, 144, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(4, 1050, 397, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(5, 401, 109, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(6, 374, 114, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(7, 413, 106, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(8, 1103, 414, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(9, 209, 217, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(10, 1066, 415, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(11, 409, 93, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(12, 203, 138, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
(13, 1096, 398, [1, 2, 3, 4, 5, 6, 0], [0, 8, 16, 24, 32, 40, -1], [8, 16, 24, 32, 40, 48, -1])
