(0, 32, 60, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(1, 32, 153, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(2, 32, 180, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(3, 32, 250, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(4, 32, 127, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(5, 32, 141, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(6, 32, 105, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(7, 81, 85, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(8, 32, 85, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(9, 32, 74, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(10, 32, 254, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(11, 32, 186, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(12, 32, 204, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(13, 32, 87, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(14, 32, 75, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(15, 75, 68, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(16, 32, 225, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(17, 54, 170, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(18, 32, 75, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(19, 32, 161, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(20, 32, 206, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(21, 32, 102, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(22, 32, 172, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(23, 32, 183, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(24, 32, 65, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(25, 32, 190, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(26, 32, 53, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(27, 32, 234, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(28, 32, 152, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(29, 32, 250, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(30, 32, 210, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(31, 67, 206, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
(32, 32, 135, [1, 2, 3, 4, 0], [0, 16, 32, 48, -1], [16, 32, 48, 64, -1])
