(0.10000038146972656, 0, 'out', 'prompt', 0, 195)
(0.20000004768371582, 1, 'out', 'prompt', 0, 421)
(0.827070951461792, 0, 'in', 'prompt', 0, 195)
(0.827070951461792, 2, 'out', 'prompt', 0, 1137)
(0.827070951461792, 0, 'out', 'decode', 195, 1)
(1.055572509765625, 1, 'in', 'prompt', 0, 421)
(1.055572509765625, 3, 'out', 'prompt', 0, 406)
(1.055572509765625, 1, 'out', 'decode', 421, 1)
(2.4379591941833496, 2, 'in', 'prompt', 0, 1137)
(2.4379591941833496, 4, 'out', 'prompt', 0, 121)
(2.4379591941833496, 2, 'out', 'decode', 1137, 1)
(2.529536008834839, 3, 'in', 'prompt', 0, 406)
(2.529536008834839, 5, 'out', 'prompt', 0, 1061)
(2.529536008834839, 3, 'out', 'decode', 406, 1)
(2.559746265411377, 0, 'in', 'decode', 195, 1)
(2.559746265411377, 0, 'out', 'decode', 196, 1)
(2.559746265411377, 1, 'in', 'decode', 421, 1)
(2.559746265411377, 1, 'out', 'decode', 422, 1)
(2.7607669830322266, 4, 'in', 'prompt', 0, 121)
(2.7607669830322266, 6, 'out', 'prompt', 0, 389)
(2.7607669830322266, 4, 'out', 'decode', 121, 1)
(2.7792720794677734, 2, 'in', 'decode', 1137, 1)
(2.7792720794677734, 2, 'out', 'decode', 1138, 1)
(3.9459927082061768, 5, 'in', 'prompt', 0, 1061)
(3.9459927082061768, 7, 'out', 'prompt', 0, 1069)
(3.9459927082061768, 5, 'out', 'decode', 1061, 1)
(4.033074140548706, 6, 'in', 'prompt', 0, 389)
(4.033074140548706, 8, 'out', 'prompt', 0, 1040)
(4.033074140548706, 6, 'out', 'decode', 389, 1)
(4.053924560546875, 0, 'in', 'decode', 196, 1)
(4.053924560546875, 0, 'out', 'decode', 197, 1)
(4.053924560546875, 1, 'in', 'decode', 422, 1)
(4.053924560546875, 1, 'out', 'decode', 423, 1)
(4.053980112075806, 2, 'in', 'decode', 1138, 1)
