(2.2738635540008545, 0, 'out', 'prompt', 0, 421)
(3.4218859672546387, 0, 'in', 'prompt', 0, 421)
(3.4218859672546387, 0, 'out', 'decode', 421, 1)
(3.680222988128662, 0, 'in', 'decode', 421, 1)
(3.680222988128662, 0, 'out', 'decode', 422, 1)
(3.807605028152466, 0, 'in', 'decode', 422, 1)
(3.807605028152466, 0, 'out', 'decode', 423, 1)
(3.934054374694824, 0, 'in', 'decode', 423, 1)
(3.934054374694824, 0, 'out', 'decode', 424, 1)
(4.06306529045105, 0, 'in', 'decode', 424, 1)
(4.06306529045105, 0, 'out', 'decode', 425, 1)
(4.1950132846832275, 0, 'in', 'decode', 425, 1)
(4.1950132846832275, 0, 'out', 'decode', 426, 1)
(4.3253209590911865, 0, 'in', 'decode', 426, 1)
(4.3253209590911865, 0, 'out', 'decode', 427, 1)
(4.455920457839966, 0, 'in', 'decode', 427, 1)
(4.455920457839966, 0, 'out', 'decode', 428, 1)
(4.585491418838501, 0, 'in', 'decode', 428, 1)
(4.585491418838501, 0, 'out', 'decode', 429, 1)
(4.714067220687866, 0, 'in', 'decode', 429, 1)
(4.714067220687866, 0, 'out', 'decode', 430, 1)
(4.844266414642334, 0, 'in', 'decode', 430, 1)
(4.844266414642334, 0, 'out', 'decode', 431, 1)
(4.972899913787842, 0, 'in', 'decode', 431, 1)
(4.972899913787842, 0, 'out', 'decode', 432, 1)
(5.10285210609436, 0, 'in', 'decode', 432, 1)
(5.10285210609436, 0, 'out', 'decode', 433, 1)
(5.2328901290893555, 0, 'in', 'decode', 433, 1)
(5.2328901290893555, 0, 'out', 'decode', 434, 1)
(5.374011278152466, 0, 'in', 'decode', 434, 1)
(5.374011278152466, 0, 'out', 'decode', 435, 1)
(5.513803243637085, 0, 'in', 'decode', 435, 1)
(5.513803243637085, 0, 'out', 'decode', 436, 1)
(5.6436851024627686, 0, 'in', 'decode', 436, 1)
(5.6436851024627686, 0, 'out', 'decode', 437, 1)
(5.774247884750366, 0, 'in', 'decode', 437, 1)
(5.774247884750366, 0, 'out', 'decode', 438, 1)
(5.904703855514526, 0, 'in', 'decode', 438, 1)
(5.904703855514526, 0, 'out', 'decode', 439, 1)
(6.035273313522339, 0, 'in', 'decode', 439, 1)
(6.035273313522339, 0, 'out', 'decode', 440, 1)
(6.165826082229614, 0, 'in', 'decode', 440, 1)
(6.165826082229614, 0, 'out', 'decode', 441, 1)
(6.296328067779541, 0, 'in', 'decode', 441, 1)
(6.296328067779541, 0, 'out', 'decode', 442, 1)
(6.428464889526367, 0, 'in', 'decode', 442, 1)
(6.428464889526367, 0, 'out', 'decode', 443, 1)
(6.557652950286865, 0, 'in', 'decode', 443, 1)
(6.557652950286865, 0, 'out', 'decode', 444, 1)
(6.707871198654175, 0, 'in', 'decode', 444, 1)
(6.707871198654175, 0, 'out', 'decode', 445, 1)
(6.845394849777222, 0, 'in', 'decode', 445, 1)
(6.845394849777222, 0, 'out', 'decode', 446, 1)
(6.975275754928589, 0, 'in', 'decode', 446, 1)
(6.975275754928589, 0, 'out', 'decode', 447, 1)
(7.106532335281372, 0, 'in', 'decode', 447, 1)
(7.106532335281372, 0, 'out', 'decode', 448, 1)
(7.237144470214844, 0, 'in', 'decode', 448, 1)
(7.237144470214844, 0, 'out', 'decode', 449, 1)
(7.366623640060425, 0, 'in', 'decode', 449, 1)
(7.366623640060425, 0, 'out', 'decode', 450, 1)
(7.495896100997925, 0, 'in', 'decode', 450, 1)
(7.495896100997925, 0, 'out', 'decode', 451, 1)
(7.625607013702393, 0, 'in', 'decode', 451, 1)
(7.625607013702393, 0, 'out', 'decode', 452, 1)
(7.758435964584351, 0, 'in', 'decode', 452, 1)
(7.758435964584351, 0, 'out', 'decode', 453, 1)
(7.889824867248535, 0, 'in', 'decode', 453, 1)
(7.889824867248535, 0, 'out', 'decode', 454, 1)
(8.020947933197021, 0, 'in', 'decode', 454, 1)
(8.020947933197021, 0, 'out', 'decode', 455, 1)
(8.163950443267822, 0, 'in', 'decode', 455, 1)
(8.163950443267822, 0, 'out', 'decode', 456, 1)
(8.295345783233643, 0, 'in', 'decode', 456, 1)
(8.295345783233643, 0, 'out', 'decode', 457, 1)
(8.424878358840942, 0, 'in', 'decode', 457, 1)
(8.424878358840942, 0, 'out', 'decode', 458, 1)
(8.555493116378784, 0, 'in', 'decode', 458, 1)
(8.555493116378784, 0, 'out', 'decode', 459, 1)
(8.68546175956726, 0, 'in', 'decode', 459, 1)
(8.68546175956726, 0, 'out', 'decode', 460, 1)
(8.817148685455322, 0, 'in', 'decode', 460, 1)
(8.817148685455322, 0, 'out', 'decode', 461, 1)
(8.896394968032837, 1, 'out', 'prompt', 0, 121)
(8.947135210037231, 0, 'in', 'decode', 461, 1)
(8.947135210037231, 0, 'out', 'decode', 462, 1)
(9.313557624816895, 1, 'in', 'prompt', 0, 121)
(9.313557624816895, 1, 'out', 'decode', 121, 1)
(9.334007263183594, 0, 'in', 'decode', 462, 1)
(9.334007263183594, 0, 'out', 'decode', 463, 1)
(9.44344186782837, 1, 'in', 'decode', 121, 1)
(9.44344186782837, 1, 'out', 'decode', 122, 1)
(9.463079452514648, 0, 'in', 'decode', 463, 1)
(9.463079452514648, 0, 'out', 'decode', 464, 1)
(9.57190728187561, 1, 'in', 'decode', 122, 1)
(9.57190728187561, 1, 'out', 'decode', 123, 1)
(9.591383934020996, 0, 'in', 'decode', 464, 1)
(9.591383934020996, 0, 'out', 'decode', 465, 1)
(9.717443466186523, 1, 'in', 'decode', 123, 1)
(9.717443466186523, 1, 'out', 'decode', 124, 1)
(9.736419439315796, 0, 'in', 'decode', 465, 1)
(9.736419439315796, 0, 'out', 'decode', 466, 1)
(9.847843885421753, 1, 'in', 'decode', 124, 1)
(9.847843885421753, 1, 'out', 'decode', 125, 1)
(9.867054224014282, 0, 'in', 'decode', 466, 1)
(9.867054224014282, 0, 'out', 'decode', 467, 1)
(9.977533340454102, 1, 'in', 'decode', 125, 1)
(9.977533340454102, 1, 'out', 'decode', 126, 1)
(9.996308088302612, 0, 'in', 'decode', 467, 1)
(9.996308088302612, 0, 'out', 'decode', 468, 1)
(10.106852769851685, 1, 'in', 'decode', 126, 1)
(10.106852769851685, 1, 'out', 'decode', 127, 1)
(10.126067638397217, 0, 'in', 'decode', 468, 1)
(10.126067638397217, 0, 'out', 'decode', 469, 1)
(10.236634492874146, 1, 'in', 'decode', 127, 1)
(10.236634492874146, 1, 'out', 'decode', 128, 1)
(10.256065130233765, 0, 'in', 'decode', 469, 1)
(10.256065130233765, 0, 'out', 'decode', 470, 1)
