(5.0067901611328125e-06, 0, 'out', 'prompt', 0, 457)
(0.5938432216644287, 0, 'in', 'prompt', 0, 457)
(0.5938432216644287, 0, 'out', 'decode', 457, 1)
(0.7201533317565918, 0, 'in', 'decode', 457, 1)
(0.7201533317565918, 0, 'out', 'decode', 458, 1)
(0.7821002006530762, 0, 'in', 'decode', 458, 1)
(0.7821002006530762, 0, 'out', 'decode', 459, 1)
(0.8435611724853516, 0, 'in', 'decode', 459, 1)
(0.8435611724853516, 0, 'out', 'decode', 460, 1)
(0.9047451019287109, 0, 'in', 'decode', 460, 1)
(0.9047451019287109, 0, 'out', 'decode', 461, 1)
(0.9656105041503906, 0, 'in', 'decode', 461, 1)
(0.9656105041503906, 0, 'out', 'decode', 462, 1)
(1.0263993740081787, 0, 'in', 'decode', 462, 1)
(1.0263993740081787, 0, 'out', 'decode', 463, 1)
(1.087099313735962, 0, 'in', 'decode', 463, 1)
(1.087099313735962, 0, 'out', 'decode', 464, 1)
(1.1477887630462646, 0, 'in', 'decode', 464, 1)
(1.1477887630462646, 0, 'out', 'decode', 465, 1)
(1.2085423469543457, 0, 'in', 'decode', 465, 1)
(1.2085423469543457, 0, 'out', 'decode', 466, 1)
(1.2692015171051025, 0, 'in', 'decode', 466, 1)
(1.2692015171051025, 0, 'out', 'decode', 467, 1)
(1.3298728466033936, 0, 'in', 'decode', 467, 1)
(1.3298728466033936, 0, 'out', 'decode', 468, 1)
(1.3905143737792969, 0, 'in', 'decode', 468, 1)
(1.3905143737792969, 0, 'out', 'decode', 469, 1)
(1.4515018463134766, 0, 'in', 'decode', 469, 1)
(1.4515018463134766, 0, 'out', 'decode', 470, 1)
(1.5130069255828857, 0, 'in', 'decode', 470, 1)
(1.5130069255828857, 0, 'out', 'decode', 471, 1)
(1.5749008655548096, 0, 'in', 'decode', 471, 1)
(1.5749008655548096, 0, 'out', 'decode', 472, 1)
(1.6361210346221924, 0, 'in', 'decode', 472, 1)
(1.6361210346221924, 0, 'out', 'decode', 473, 1)
(1.6973354816436768, 0, 'in', 'decode', 473, 1)
(1.6973354816436768, 0, 'out', 'decode', 474, 1)
(1.7585694789886475, 0, 'in', 'decode', 474, 1)
(1.7585694789886475, 0, 'out', 'decode', 475, 1)
(1.8195672035217285, 0, 'in', 'decode', 475, 1)
(1.8195672035217285, 0, 'out', 'decode', 476, 1)
(1.880338191986084, 0, 'in', 'decode', 476, 1)
(1.880338191986084, 0, 'out', 'decode', 477, 1)
(1.9414913654327393, 0, 'in', 'decode', 477, 1)
(1.9414913654327393, 0, 'out', 'decode', 478, 1)
(2.0027694702148438, 0, 'in', 'decode', 478, 1)
(2.0027694702148438, 0, 'out', 'decode', 479, 1)
(2.064739465713501, 0, 'in', 'decode', 479, 1)
(2.064739465713501, 0, 'out', 'decode', 480, 1)
(2.130913734436035, 0, 'in', 'decode', 480, 1)
(2.130913734436035, 0, 'out', 'decode', 481, 1)
(2.1930480003356934, 0, 'in', 'decode', 481, 1)
(2.1930480003356934, 0, 'out', 'decode', 482, 1)
(2.2549116611480713, 0, 'in', 'decode', 482, 1)
(2.2549116611480713, 0, 'out', 'decode', 483, 1)
(2.3161449432373047, 0, 'in', 'decode', 483, 1)
(2.3161449432373047, 0, 'out', 'decode', 484, 1)
(2.377709150314331, 0, 'in', 'decode', 484, 1)
(2.377709150314331, 0, 'out', 'decode', 485, 1)
(2.4395363330841064, 0, 'in', 'decode', 485, 1)
(2.4395363330841064, 0, 'out', 'decode', 486, 1)
(2.5013818740844727, 0, 'in', 'decode', 486, 1)
(2.5013818740844727, 0, 'out', 'decode', 487, 1)
(2.5630762577056885, 0, 'in', 'decode', 487, 1)
(2.5630762577056885, 0, 'out', 'decode', 488, 1)
(2.6251723766326904, 0, 'in', 'decode', 488, 1)
(2.6251723766326904, 0, 'out', 'decode', 489, 1)
(2.6862165927886963, 0, 'in', 'decode', 489, 1)
(2.6862165927886963, 0, 'out', 'decode', 490, 1)
(2.747044086456299, 0, 'in', 'decode', 490, 1)
(2.747044086456299, 0, 'out', 'decode', 491, 1)
(2.8080151081085205, 0, 'in', 'decode', 491, 1)
(2.8080151081085205, 0, 'out', 'decode', 492, 1)
(2.869432210922241, 0, 'in', 'decode', 492, 1)
(2.869432210922241, 0, 'out', 'decode', 493, 1)
(2.9308090209960938, 0, 'in', 'decode', 493, 1)
(2.9308090209960938, 0, 'out', 'decode', 494, 1)
(2.992013454437256, 0, 'in', 'decode', 494, 1)
(2.992013454437256, 0, 'out', 'decode', 495, 1)
(3.052901268005371, 0, 'in', 'decode', 495, 1)
(3.052901268005371, 0, 'out', 'decode', 496, 1)
(3.1137752532958984, 0, 'in', 'decode', 496, 1)
(3.1137752532958984, 0, 'out', 'decode', 497, 1)
(3.1747636795043945, 0, 'in', 'decode', 497, 1)
(3.1747636795043945, 0, 'out', 'decode', 498, 1)
(3.235598087310791, 0, 'in', 'decode', 498, 1)
(3.235598087310791, 0, 'out', 'decode', 499, 1)
(3.296478271484375, 0, 'in', 'decode', 499, 1)
(3.296478271484375, 0, 'out', 'decode', 500, 1)
(3.3572256565093994, 0, 'in', 'decode', 500, 1)
(3.3572256565093994, 0, 'out', 'decode', 501, 1)
(3.4187211990356445, 0, 'in', 'decode', 501, 1)
(3.4187211990356445, 0, 'out', 'decode', 502, 1)
(3.4808449745178223, 0, 'in', 'decode', 502, 1)
(3.4808449745178223, 0, 'out', 'decode', 503, 1)
(3.543182134628296, 0, 'in', 'decode', 503, 1)
(3.543182134628296, 0, 'out', 'decode', 504, 1)
(3.6042871475219727, 0, 'in', 'decode', 504, 1)
(3.6042871475219727, 0, 'out', 'decode', 505, 1)
(3.665367603302002, 0, 'in', 'decode', 505, 1)
(3.665367603302002, 0, 'out', 'decode', 506, 1)
(3.721214532852173, 1, 'out', 'prompt', 0, 611)
(3.726396083831787, 0, 'in', 'decode', 506, 1)
(3.726396083831787, 0, 'out', 'decode', 507, 1)
(4.232439041137695, 1, 'in', 'prompt', 0, 611)
(4.232439041137695, 1, 'out', 'decode', 611, 1)
(4.248361825942993, 0, 'in', 'decode', 507, 1)
(4.248361825942993, 0, 'out', 'decode', 508, 1)
(4.2961626052856445, 1, 'in', 'decode', 611, 1)
(4.2961626052856445, 1, 'out', 'decode', 612, 1)
(4.311645030975342, 0, 'in', 'decode', 508, 1)
(4.311645030975342, 0, 'out', 'decode', 509, 1)
(4.357569694519043, 1, 'in', 'decode', 612, 1)
(4.372975826263428, 0, 'in', 'decode', 509, 1)
(4.372975826263428, 0, 'out', 'decode', 510, 1)
(4.4340856075286865, 0, 'in', 'decode', 510, 1)
(4.4340856075286865, 0, 'out', 'decode', 511, 1)
(4.495593547821045, 0, 'in', 'decode', 511, 1)
(4.495593547821045, 0, 'out', 'decode', 512, 1)
(4.557368993759155, 0, 'in', 'decode', 512, 1)
(4.557368993759155, 0, 'out', 'decode', 513, 1)
(4.61972975730896, 0, 'in', 'decode', 513, 1)
(4.61972975730896, 0, 'out', 'decode', 514, 1)
(4.682400465011597, 0, 'in', 'decode', 514, 1)
(4.682400465011597, 0, 'out', 'decode', 515, 1)
(4.744339942932129, 0, 'in', 'decode', 515, 1)
(4.744339942932129, 0, 'out', 'decode', 516, 1)
(4.806875705718994, 0, 'in', 'decode', 516, 1)
(4.806875705718994, 0, 'out', 'decode', 517, 1)
(4.867841482162476, 0, 'in', 'decode', 517, 1)
(4.867841482162476, 0, 'out', 'decode', 518, 1)
(4.928662061691284, 0, 'in', 'decode', 518, 1)
(4.928662061691284, 0, 'out', 'decode', 519, 1)
(4.9907917976379395, 0, 'in', 'decode', 519, 1)
(4.9907917976379395, 0, 'out', 'decode', 520, 1)
(5.052440643310547, 0, 'in', 'decode', 520, 1)
(5.052440643310547, 0, 'out', 'decode', 521, 1)
(5.11409330368042, 0, 'in', 'decode', 521, 1)
(5.11409330368042, 0, 'out', 'decode', 522, 1)
(5.176128387451172, 0, 'in', 'decode', 522, 1)
(5.176128387451172, 0, 'out', 'decode', 523, 1)
(5.237456321716309, 0, 'in', 'decode', 523, 1)
(5.237456321716309, 0, 'out', 'decode', 524, 1)
(5.29839301109314, 0, 'in', 'decode', 524, 1)
(5.29839301109314, 0, 'out', 'decode', 525, 1)
(5.35975980758667, 0, 'in', 'decode', 525, 1)
(5.35975980758667, 0, 'out', 'decode', 526, 1)
(5.420237064361572, 0, 'in', 'decode', 526, 1)
(5.420237064361572, 0, 'out', 'decode', 527, 1)
(5.48086404800415, 0, 'in', 'decode', 527, 1)
(5.48086404800415, 0, 'out', 'decode', 528, 1)
(5.542742013931274, 0, 'in', 'decode', 528, 1)
(5.542742013931274, 0, 'out', 'decode', 529, 1)
(5.604557752609253, 0, 'in', 'decode', 529, 1)
(5.604557752609253, 0, 'out', 'decode', 530, 1)
(5.665964126586914, 0, 'in', 'decode', 530, 1)
(5.665964126586914, 0, 'out', 'decode', 531, 1)
(5.727468729019165, 0, 'in', 'decode', 531, 1)
(5.727468729019165, 0, 'out', 'decode', 532, 1)
(5.7887489795684814, 0, 'in', 'decode', 532, 1)
(5.7887489795684814, 0, 'out', 'decode', 533, 1)
(5.850242614746094, 0, 'in', 'decode', 533, 1)
(5.850242614746094, 0, 'out', 'decode', 534, 1)
(5.911448955535889, 0, 'in', 'decode', 534, 1)
(5.911448955535889, 0, 'out', 'decode', 535, 1)
(5.973664045333862, 0, 'in', 'decode', 535, 1)
(5.973664045333862, 0, 'out', 'decode', 536, 1)
(6.035212993621826, 0, 'in', 'decode', 536, 1)
(6.035212993621826, 0, 'out', 'decode', 537, 1)
(6.097369194030762, 0, 'in', 'decode', 537, 1)
(6.097369194030762, 0, 'out', 'decode', 538, 1)
(6.1589930057525635, 0, 'in', 'decode', 538, 1)
(6.1589930057525635, 0, 'out', 'decode', 539, 1)
(6.221779108047485, 0, 'in', 'decode', 539, 1)
(6.221779108047485, 0, 'out', 'decode', 540, 1)
(6.284013986587524, 0, 'in', 'decode', 540, 1)
(6.284013986587524, 0, 'out', 'decode', 541, 1)
(6.3459696769714355, 0, 'in', 'decode', 541, 1)
(6.3459696769714355, 0, 'out', 'decode', 542, 1)
(6.408630132675171, 0, 'in', 'decode', 542, 1)
(6.408630132675171, 0, 'out', 'decode', 543, 1)
(6.470397710800171, 0, 'in', 'decode', 543, 1)
(6.470397710800171, 0, 'out', 'decode', 544, 1)
(6.5329430103302, 0, 'in', 'decode', 544, 1)
(6.5329430103302, 0, 'out', 'decode', 545, 1)
(6.5584728717803955, 2, 'out', 'prompt', 0, 734)
(6.595656156539917, 0, 'in', 'decode', 545, 1)
(6.595656156539917, 0, 'out', 'decode', 546, 1)
(7.144577741622925, 2, 'in', 'prompt', 0, 734)
(7.144577741622925, 2, 'out', 'decode', 734, 1)
(7.160560369491577, 0, 'in', 'decode', 546, 1)
(7.160560369491577, 0, 'out', 'decode', 547, 1)
(7.208490371704102, 2, 'in', 'decode', 734, 1)
(7.208490371704102, 2, 'out', 'decode', 735, 1)
(7.224355936050415, 0, 'in', 'decode', 547, 1)
(7.224355936050415, 0, 'out', 'decode', 548, 1)
(7.270140171051025, 2, 'in', 'decode', 735, 1)
