(1.71661376953125e-05, 0, 'out', 'prompt', 0, 457)
(1.860607385635376, 1, 'out', 'prompt', 0, 611)
(3.2792370319366455, 2, 'out', 'prompt', 0, 734)
(3.8249497413635254, 3, 'out', 'prompt', 0, 415)
(4.124591827392578, 4, 'out', 'prompt', 0, 640)
(4.8405468463897705, 5, 'out', 'prompt', 0, 557)
(5.359630107879639, 6, 'out', 'prompt', 0, 539)
(6.891174554824829, 7, 'out', 'prompt', 0, 430)
(7.252593755722046, 8, 'out', 'prompt', 0, 578)
(7.899996995925903, 9, 'out', 'prompt', 0, 1294)
(8.775583028793335, 10, 'out', 'prompt', 0, 443)
(11.162776947021484, 11, 'out', 'prompt', 0, 457)
(11.865341901779175, 12, 'out', 'prompt', 0, 628)
(12.196401834487915, 13, 'out', 'prompt', 0, 856)
(13.606186866760254, 14, 'out', 'prompt', 0, 660)
(14.569488048553467, 15, 'out', 'prompt', 0, 507)
(14.857845544815063, 16, 'out', 'prompt', 0, 445)
(17.26297616958618, 17, 'out', 'prompt', 0, 587)
(21.32497763633728, 18, 'out', 'prompt', 0, 663)
(22.986852884292603, 19, 'out', 'prompt', 0, 381)
(25.311335563659668, 20, 'out', 'prompt', 0, 554)
(25.682612895965576, 21, 'out', 'prompt', 0, 623)
(26.991323232650757, 22, 'out', 'prompt', 0, 549)
(29.282357931137085, 23, 'out', 'prompt', 0, 1055)
(30.43432092666626, 24, 'out', 'prompt', 0, 476)
(31.07325005531311, 25, 'out', 'prompt', 0, 721)
(31.179389715194702, 26, 'out', 'prompt', 0, 658)
(31.748854398727417, 27, 'out', 'prompt', 0, 427)
(32.692739963531494, 28, 'out', 'prompt', 0, 733)
(35.13471436500549, 29, 'out', 'prompt', 0, 727)
(38.534104347229004, 30, 'out', 'prompt', 0, 1151)
(39.18229699134827, 31, 'out', 'prompt', 0, 732)
(41.1870756149292, 32, 'out', 'prompt', 0, 1060)
(41.48884654045105, 33, 'out', 'prompt', 0, 790)
(43.12374496459961, 34, 'out', 'prompt', 0, 653)
(43.919365882873535, 35, 'out', 'prompt', 0, 544)
(43.933507680892944, 36, 'out', 'prompt', 0, 994)
(45.205419301986694, 37, 'out', 'prompt', 0, 802)
(45.71428561210632, 38, 'out', 'prompt', 0, 587)
(47.45636963844299, 39, 'out', 'prompt', 0, 465)
(48.55945181846619, 40, 'out', 'prompt', 0, 2725)
(48.5605947971344, 41, 'out', 'prompt', 0, 825)
(49.24097967147827, 42, 'out', 'prompt', 0, 511)
(51.26292848587036, 43, 'out', 'prompt', 0, 1109)
(51.542524099349976, 44, 'out', 'prompt', 0, 1725)
(51.935869216918945, 45, 'out', 'prompt', 0, 465)
(53.979721784591675, 46, 'out', 'prompt', 0, 476)
(54.19176125526428, 47, 'out', 'prompt', 0, 372)
(55.029959201812744, 48, 'out', 'prompt', 0, 521)
(55.302576541900635, 49, 'out', 'prompt', 0, 631)
(58.73033046722412, 50, 'out', 'prompt', 0, 1241)
(60.355793714523315, 51, 'out', 'prompt', 0, 498)
(60.94994568824768, 52, 'out', 'prompt', 0, 501)
(61.033812284469604, 53, 'out', 'prompt', 0, 586)
(61.41955494880676, 54, 'out', 'prompt', 0, 541)
(62.12871050834656, 55, 'out', 'prompt', 0, 444)
(64.82929611206055, 56, 'out', 'prompt', 0, 413)
(64.9447717666626, 57, 'out', 'prompt', 0, 601)
(65.74609994888306, 58, 'out', 'prompt', 0, 520)
(66.97218704223633, 59, 'out', 'prompt', 0, 517)
(67.76502346992493, 60, 'out', 'prompt', 0, 808)
(69.44954562187195, 61, 'out', 'prompt', 0, 662)
(70.22669076919556, 62, 'out', 'prompt', 0, 492)
(73.54645228385925, 63, 'out', 'prompt', 0, 668)
(74.47073912620544, 64, 'out', 'prompt', 0, 657)
(75.3565423488617, 65, 'out', 'prompt', 0, 400)
(75.94530963897705, 66, 'out', 'prompt', 0, 607)
(76.85236072540283, 67, 'out', 'prompt', 0, 537)
(77.33833289146423, 68, 'out', 'prompt', 0, 1187)
(78.19553446769714, 69, 'out', 'prompt', 0, 843)
(78.53848576545715, 70, 'out', 'prompt', 0, 1245)
(78.74845600128174, 71, 'out', 'prompt', 0, 967)
(78.9551477432251, 72, 'out', 'prompt', 0, 553)
(79.90389275550842, 73, 'out', 'prompt', 0, 983)
(80.97292494773865, 74, 'out', 'prompt', 0, 727)
(81.62020182609558, 75, 'out', 'prompt', 0, 572)
(81.71431970596313, 76, 'out', 'prompt', 0, 557)
(83.13150191307068, 77, 'out', 'prompt', 0, 729)
(85.22520732879639, 78, 'out', 'prompt', 0, 799)
(87.79411768913269, 79, 'out', 'prompt', 0, 1064)
(89.64219546318054, 80, 'out', 'prompt', 0, 927)
