(0.10000038146972656, 0, 'out', 'prompt', 0, 195)
(0.20000052452087402, 1, 'out', 'prompt', 0, 421)
(0.3000004291534424, 2, 'out', 'prompt', 0, 1137)
(0.40000033378601074, 3, 'out', 'prompt', 0, 406)
(0.5000007152557373, 4, 'out', 'prompt', 0, 121)
(0.6000003814697266, 5, 'out', 'prompt', 0, 1061)
(0.700000524520874, 6, 'out', 'prompt', 0, 389)
(0.8000006675720215, 7, 'out', 'prompt', 0, 1069)
(0.9000003337860107, 8, 'out', 'prompt', 0, 1040)
(1.0000004768371582, 9, 'out', 'prompt', 0, 423)
(1.1000006198883057, 10, 'out', 'prompt', 0, 210)
(1.200000286102295, 11, 'out', 'prompt', 0, 1345)
(1.3000004291534424, 12, 'out', 'prompt', 0, 394)
(1.4000005722045898, 13, 'out', 'prompt', 0, 1051)
(1.5000004768371582, 14, 'out', 'prompt', 0, 1170)
(1.6000003814697266, 15, 'out', 'prompt', 0, 402)
(1.7000000476837158, 16, 'out', 'prompt', 0, 375)
(1.8000001907348633, 17, 'out', 'prompt', 0, 420)
(1.9000005722045898, 18, 'out', 'prompt', 0, 401)
(2.000000476837158, 19, 'out', 'prompt', 0, 414)
(2.1000001430511475, 20, 'out', 'prompt', 0, 238)
(2.200000047683716, 21, 'out', 'prompt', 0, 1225)
(2.3000001907348633, 22, 'out', 'prompt', 0, 182)
(2.4000000953674316, 23, 'out', 'prompt', 0, 1104)
(2.500000476837158, 24, 'out', 'prompt', 0, 213)
(2.5259768962860107, 0, 'in', 'prompt', 0, 195)
(2.5259768962860107, 0, 'out', 'decode', 195, 1)
(2.6000003814697266, 25, 'out', 'prompt', 0, 406)
(2.700000047683716, 26, 'out', 'prompt', 0, 210)
(2.8000001907348633, 27, 'out', 'prompt', 0, 1317)
(2.9000000953674316, 28, 'out', 'prompt', 0, 1063)
(3.0000007152557373, 29, 'out', 'prompt', 0, 1067)
(3.078433036804199, 1, 'in', 'prompt', 0, 421)
(3.078433036804199, 1, 'out', 'decode', 421, 1)
(3.1000008583068848, 30, 'out', 'prompt', 0, 1485)
(3.200000047683716, 31, 'out', 'prompt', 0, 410)
(3.3000006675720215, 32, 'out', 'prompt', 0, 1093)
(3.4000003337860107, 33, 'out', 'prompt', 0, 396)
(3.5000007152557373, 34, 'out', 'prompt', 0, 204)
(3.6000006198883057, 35, 'out', 'prompt', 0, 1150)
(3.6472222805023193, 2, 'in', 'prompt', 0, 1137)
(3.6472222805023193, 2, 'out', 'decode', 1137, 1)
(3.700000524520874, 36, 'out', 'prompt', 0, 222)
(3.8000004291534424, 37, 'out', 'prompt', 0, 379)
(3.90000057220459, 38, 'out', 'prompt', 0, 204)
(4.0, 39, 'out', 'prompt', 0, 1097)
(4.100000619888306, 40, 'out', 'prompt', 0, 441)
(4.136510848999023, 10, 'in', 'prompt', 0, 210)
(4.136510848999023, 10, 'out', 'decode', 210, 1)
(4.136510848999023, 11, 'in', 'prompt', 0, 1345)
(4.136510848999023, 11, 'out', 'decode', 1345, 1)
(4.136554956436157, 3, 'in', 'prompt', 0, 406)
(4.136554956436157, 3, 'out', 'decode', 406, 1)
(4.136554956436157, 4, 'in', 'prompt', 0, 121)
(4.136554956436157, 4, 'out', 'decode', 121, 1)
(4.136554956436157, 5, 'in', 'prompt', 0, 1061)
(4.136554956436157, 5, 'out', 'decode', 1061, 1)
(4.136554956436157, 6, 'in', 'prompt', 0, 389)
(4.136554956436157, 6, 'out', 'decode', 389, 1)
(4.200000047683716, 41, 'out', 'prompt', 0, 1078)
(4.3000006675720215, 42, 'out', 'prompt', 0, 168)
(4.400000095367432, 43, 'out', 'prompt', 0, 1042)
(4.453897953033447, 7, 'in', 'prompt', 0, 1069)
(4.453897953033447, 7, 'out', 'decode', 1069, 1)
(4.489580869674683, 0, 'in', 'decode', 195, 1)
(4.489580869674683, 0, 'out', 'decode', 196, 1)
(4.489603281021118, 1, 'in', 'decode', 421, 1)
(4.489603281021118, 1, 'out', 'decode', 422, 1)
(4.489603281021118, 2, 'in', 'decode', 1137, 1)
(4.489603281021118, 2, 'out', 'decode', 1138, 1)
(4.5, 44, 'out', 'prompt', 0, 182)
(4.509297132492065, 10, 'in', 'decode', 210, 1)
(4.509297132492065, 10, 'out', 'decode', 211, 1)
