(0, 194, 96, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(1, 420, 124, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(2, 1136, 375, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(10, 209, 193, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(11, 1344, 56, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(3, 405, 103, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(4, 120, 12, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(5, 1060, 415, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(6, 388, 84, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(7, 1068, 429, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(8, 1039, 401, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(9, 422, 144, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(12, 393, 60, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(13, 1050, 397, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
