(0.10000109672546387, 0, 'out', 'prompt', 0, 195)
(0.20000004768371582, 1, 'out', 'prompt', 0, 421)
(0.3000006675720215, 2, 'out', 'prompt', 0, 1137)
(0.40000057220458984, 3, 'out', 'prompt', 0, 406)
(0.4241602420806885, 0, 'in', 'prompt', 0, 195)
(0.4241602420806885, 0, 'out', 'decode', 195, 1)
(0.5000002384185791, 4, 'out', 'prompt', 0, 121)
(0.58890700340271, 1, 'in', 'prompt', 0, 421)
(0.58890700340271, 1, 'out', 'decode', 421, 1)
(0.6000001430511475, 5, 'out', 'prompt', 0, 1061)
(0.7000002861022949, 6, 'out', 'prompt', 0, 389)
(0.8000001907348633, 7, 'out', 'prompt', 0, 1069)
(0.900001049041748, 8, 'out', 'prompt', 0, 1040)
(1.0000004768371582, 9, 'out', 'prompt', 0, 423)
(1.0703649520874023, 2, 'in', 'prompt', 0, 1137)
(1.0703649520874023, 2, 'out', 'decode', 1137, 1)
(1.1000006198883057, 10, 'out', 'prompt', 0, 210)
(1.174687147140503, 3, 'in', 'prompt', 0, 406)
(1.174687147140503, 3, 'out', 'decode', 406, 1)
(1.1747183799743652, 4, 'in', 'prompt', 0, 121)
(1.1747183799743652, 4, 'out', 'decode', 121, 1)
(1.2000000476837158, 11, 'out', 'prompt', 0, 1345)
(1.2001643180847168, 0, 'in', 'decode', 195, 1)
(1.2001643180847168, 0, 'out', 'decode', 196, 1)
(1.3000001907348633, 12, 'out', 'prompt', 0, 394)
(1.3458449840545654, 5, 'in', 'prompt', 0, 1061)
(1.3458449840545654, 5, 'out', 'decode', 1061, 1)
(1.400001049041748, 13, 'out', 'prompt', 0, 1051)
(1.4144463539123535, 6, 'in', 'prompt', 0, 389)
(1.4144463539123535, 6, 'out', 'decode', 389, 1)
(1.4295265674591064, 1, 'in', 'decode', 421, 1)
(1.4295265674591064, 1, 'out', 'decode', 422, 1)
(1.5000007152557373, 14, 'out', 'prompt', 0, 1170)
(1.595993995666504, 7, 'in', 'prompt', 0, 1069)
(1.595993995666504, 7, 'out', 'decode', 1069, 1)
(1.6000006198883057, 15, 'out', 'prompt', 0, 402)
(1.700000524520874, 16, 'out', 'prompt', 0, 375)
(1.741952657699585, 8, 'in', 'prompt', 0, 1040)
(1.741952657699585, 8, 'out', 'decode', 1040, 1)
(1.8000006675720215, 17, 'out', 'prompt', 0, 420)
(1.8319494724273682, 10, 'in', 'prompt', 0, 210)
(1.8319494724273682, 10, 'out', 'decode', 210, 1)
(1.8319756984710693, 9, 'in', 'prompt', 0, 423)
(1.8319756984710693, 9, 'out', 'decode', 423, 1)
(1.900000810623169, 18, 'out', 'prompt', 0, 401)
(2.0, 19, 'out', 'prompt', 0, 414)
(2.097865104675293, 0, 'in', 'decode', 196, 1)
(2.097865104675293, 0, 'out', 'decode', 197, 1)
(2.0980069637298584, 1, 'in', 'decode', 422, 1)
(2.0980069637298584, 1, 'out', 'decode', 423, 1)
(2.0980162620544434, 10, 'in', 'decode', 210, 1)
(2.0980162620544434, 10, 'out', 'decode', 211, 1)
(2.098034381866455, 2, 'in', 'decode', 1137, 1)
(2.098034381866455, 2, 'out', 'decode', 1138, 1)
(2.0980441570281982, 3, 'in', 'decode', 406, 1)
(2.0980441570281982, 3, 'out', 'decode', 407, 1)
(2.0980570316314697, 4, 'in', 'decode', 121, 1)
(2.0980570316314697, 4, 'out', 'decode', 122, 1)
(2.098071336746216, 5, 'in', 'decode', 1061, 1)
(2.098071336746216, 5, 'out', 'decode', 1062, 1)
(2.0980873107910156, 6, 'in', 'decode', 389, 1)
(2.0980873107910156, 6, 'out', 'decode', 390, 1)
(2.0980873107910156, 7, 'in', 'decode', 1069, 1)
(2.0980873107910156, 7, 'out', 'decode', 1070, 1)
(2.0981085300445557, 8, 'in', 'decode', 1040, 1)
(2.0981085300445557, 8, 'out', 'decode', 1041, 1)
(2.098118305206299, 9, 'in', 'decode', 423, 1)
(2.098118305206299, 9, 'out', 'decode', 424, 1)
(2.1000006198883057, 20, 'out', 'prompt', 0, 238)
(2.1571218967437744, 0, 'in', 'decode', 197, 1)
(2.1571218967437744, 0, 'out', 'decode', 198, 1)
(2.1763346195220947, 1, 'in', 'decode', 423, 1)
(2.1763346195220947, 1, 'out', 'decode', 424, 1)
(2.1913957595825195, 10, 'in', 'decode', 211, 1)
(2.1913957595825195, 10, 'out', 'decode', 212, 1)
(2.200000286102295, 21, 'out', 'prompt', 0, 1225)
(2.2081491947174072, 2, 'in', 'decode', 1138, 1)
(2.2081491947174072, 2, 'out', 'decode', 1139, 1)
(2.2269630432128906, 0, 'in', 'decode', 198, 1)
(2.2269630432128906, 0, 'out', 'decode', 199, 1)
(2.2269811630249023, 3, 'in', 'decode', 407, 1)
(2.2269811630249023, 3, 'out', 'decode', 408, 1)
(2.226989269256592, 4, 'in', 'decode', 122, 1)
(2.226989269256592, 4, 'out', 'decode', 123, 1)
(2.227012872695923, 5, 'in', 'decode', 1062, 1)
(2.227012872695923, 5, 'out', 'decode', 1063, 1)
(2.227020502090454, 6, 'in', 'decode', 390, 1)
(2.227020502090454, 6, 'out', 'decode', 391, 1)
(2.227033853530884, 7, 'in', 'decode', 1070, 1)
(2.227033853530884, 7, 'out', 'decode', 1071, 1)
(2.227046012878418, 8, 'in', 'decode', 1041, 1)
(2.227046012878418, 8, 'out', 'decode', 1042, 1)
(2.2270634174346924, 9, 'in', 'decode', 424, 1)
(2.2270634174346924, 9, 'out', 'decode', 425, 1)
(2.2421274185180664, 1, 'in', 'decode', 424, 1)
(2.2421274185180664, 1, 'out', 'decode', 425, 1)
(2.2571709156036377, 10, 'in', 'decode', 212, 1)
(2.2571709156036377, 10, 'out', 'decode', 213, 1)
(2.272599458694458, 2, 'in', 'decode', 1139, 1)
(2.272599458694458, 2, 'out', 'decode', 1140, 1)
(2.2884747982025146, 0, 'in', 'decode', 199, 1)
(2.2884747982025146, 0, 'out', 'decode', 200, 1)
