(0, 194, 96, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(1, 420, 124, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(2, 1136, 375, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(3, 405, 103, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(4, 120, 12, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(5, 1060, 415, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(6, 388, 84, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(7, 1068, 429, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(8, 1039, 401, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(10, 209, 193, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(9, 422, 144, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(11, 1344, 56, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(12, 393, 60, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(13, 1050, 397, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(14, 1169, 421, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(15, 401, 109, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(16, 374, 114, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(17, 419, 148, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(18, 400, 89, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(19, 413, 106, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(20, 237, 126, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(21, 1224, 433, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(22, 181, 120, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(23, 1103, 414, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(24, 212, 183, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(25, 405, 94, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(26, 209, 217, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(27, 1316, 135, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(28, 1062, 415, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(29, 1066, 415, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(30, 109, 120, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
