(2.2738635540008545, 0, 'out', 'prompt', 0, 421)
(2.768017053604126, 0, 'in', 'prompt', 0, 421)
(2.768017053604126, 0, 'out', 'decode', 421, 1)
(2.908721685409546, 0, 'in', 'decode', 421, 1)
(2.908721685409546, 0, 'out', 'decode', 422, 1)
(2.9701077938079834, 0, 'in', 'decode', 422, 1)
(2.9701077938079834, 0, 'out', 'decode', 423, 1)
(3.0292115211486816, 0, 'in', 'decode', 423, 1)
(3.0292115211486816, 0, 'out', 'decode', 424, 1)
(3.0881729125976562, 0, 'in', 'decode', 424, 1)
(3.0881729125976562, 0, 'out', 'decode', 425, 1)
(3.1469388008117676, 0, 'in', 'decode', 425, 1)
(3.1469388008117676, 0, 'out', 'decode', 426, 1)
(3.20621657371521, 0, 'in', 'decode', 426, 1)
(3.20621657371521, 0, 'out', 'decode', 427, 1)
(3.265303373336792, 0, 'in', 'decode', 427, 1)
(3.265303373336792, 0, 'out', 'decode', 428, 1)
(3.324293613433838, 0, 'in', 'decode', 428, 1)
(3.324293613433838, 0, 'out', 'decode', 429, 1)
(3.382930278778076, 0, 'in', 'decode', 429, 1)
(3.382930278778076, 0, 'out', 'decode', 430, 1)
(3.4417388439178467, 0, 'in', 'decode', 430, 1)
(3.4417388439178467, 0, 'out', 'decode', 431, 1)
(3.5005128383636475, 0, 'in', 'decode', 431, 1)
(3.5005128383636475, 0, 'out', 'decode', 432, 1)
(3.5593502521514893, 0, 'in', 'decode', 432, 1)
(3.5593502521514893, 0, 'out', 'decode', 433, 1)
(3.618119716644287, 0, 'in', 'decode', 433, 1)
(3.618119716644287, 0, 'out', 'decode', 434, 1)
(3.6768856048583984, 0, 'in', 'decode', 434, 1)
(3.6768856048583984, 0, 'out', 'decode', 435, 1)
(3.735849618911743, 0, 'in', 'decode', 435, 1)
(3.735849618911743, 0, 'out', 'decode', 436, 1)
(3.794550657272339, 0, 'in', 'decode', 436, 1)
(3.794550657272339, 0, 'out', 'decode', 437, 1)
(3.853367567062378, 0, 'in', 'decode', 437, 1)
(3.853367567062378, 0, 'out', 'decode', 438, 1)
(3.9126155376434326, 0, 'in', 'decode', 438, 1)
(3.9126155376434326, 0, 'out', 'decode', 439, 1)
(3.973681926727295, 0, 'in', 'decode', 439, 1)
(3.973681926727295, 0, 'out', 'decode', 440, 1)
(4.032901763916016, 0, 'in', 'decode', 440, 1)
(4.032901763916016, 0, 'out', 'decode', 441, 1)
(4.091598987579346, 0, 'in', 'decode', 441, 1)
(4.091598987579346, 0, 'out', 'decode', 442, 1)
(4.15036416053772, 0, 'in', 'decode', 442, 1)
(4.15036416053772, 0, 'out', 'decode', 443, 1)
(4.209207773208618, 0, 'in', 'decode', 443, 1)
(4.209207773208618, 0, 'out', 'decode', 444, 1)
(4.2680559158325195, 0, 'in', 'decode', 444, 1)
(4.2680559158325195, 0, 'out', 'decode', 445, 1)
(4.326822996139526, 0, 'in', 'decode', 445, 1)
(4.326822996139526, 0, 'out', 'decode', 446, 1)
(4.3858489990234375, 0, 'in', 'decode', 446, 1)
(4.3858489990234375, 0, 'out', 'decode', 447, 1)
(4.444684267044067, 0, 'in', 'decode', 447, 1)
(4.444684267044067, 0, 'out', 'decode', 448, 1)
(4.503664970397949, 0, 'in', 'decode', 448, 1)
(4.503664970397949, 0, 'out', 'decode', 449, 1)
(4.564067125320435, 0, 'in', 'decode', 449, 1)
