(0, 420, 124, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(1, 388, 84, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(2, 422, 144, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(3, 1050, 397, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(4, 374, 114, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(5, 237, 126, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(6, 405, 94, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(7, 1066, 415, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(8, 1092, 389, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(9, 203, 217, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(10, 1077, 483, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(11, 181, 257, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(12, 203, 162, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(13, 408, 96, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(14, 381, 76, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(15, 1117, 427, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(16, 393, 88, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(17, 1071, 395, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(18, 212, 217, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(19, 405, 94, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(20, 402, 113, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(21, 405, 85, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(22, 333, 18, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(23, 374, 62, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(24, 1010, 411, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(25, 424, 114, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(26, 379, 78, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(27, 1999, 97, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(28, 1126, 447, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(29, 1065, 411, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(30, 1119, 413, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(31, 374, 76, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(32, 1314, 232, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(33, 415, 142, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(34, 1070, 521, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(35, 405, 94, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(36, 1061, 415, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(37, 1163, 418, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(38, 984, 429, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(39, 1036, 395, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(40, 945, 388, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(41, 1022, 443, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
(42, 395, 97, [1, 2, 3, 4, 0], [0, 10, 20, 30, 40], [10, 20, 30, 40, 40])
